YEAR,CATEGORY,NAME,WINORLOSE
1960,ACTOR IN A LEADING ROLE,Burt Lancaster,TRUE
1960,ACTOR IN A LEADING ROLE,Jack Lemmon,FALSE
1960,ACTOR IN A LEADING ROLE,Laurence Olivier,FALSE
1960,ACTOR IN A LEADING ROLE,Spencer Tracy,FALSE
1960,ACTRESS IN A LEADING ROLE,Greer Garson,FALSE
1960,ACTRESS IN A LEADING ROLE,Deborah Kerr,FALSE
1960,ACTRESS IN A LEADING ROLE,Shirley MacLaine,FALSE
1960,ACTRESS IN A LEADING ROLE,Melina Mercouri,FALSE
1960,ACTRESS IN A LEADING ROLE,Elizabeth Taylor,TRUE
1961,ACTOR IN A LEADING ROLE,Charles Boyer,FALSE
1961,ACTOR IN A LEADING ROLE,Paul Newman,FALSE
1961,ACTOR IN A LEADING ROLE,Maximilian Schell,TRUE
1961,ACTOR IN A LEADING ROLE,Spencer Tracy,FALSE
1961,ACTOR IN A LEADING ROLE,Stuart Whitman,FALSE
1961,ACTRESS IN A LEADING ROLE,Audrey Hepburn,FALSE
1961,ACTRESS IN A LEADING ROLE,Piper Laurie,FALSE
1961,ACTRESS IN A LEADING ROLE,Sophia Loren,TRUE
1961,ACTRESS IN A LEADING ROLE,Geraldine Page,FALSE
1961,ACTRESS IN A LEADING ROLE,Natalie Wood,FALSE
1962,ACTOR IN A LEADING ROLE,Burt Lancaster,FALSE
1962,ACTOR IN A LEADING ROLE,Jack Lemmon,FALSE
1962,ACTOR IN A LEADING ROLE,Marcello Mastroianni,FALSE
1962,ACTOR IN A LEADING ROLE,Peter O'Toole,FALSE
1962,ACTOR IN A LEADING ROLE,Gregory Peck,TRUE
1962,ACTRESS IN A LEADING ROLE,Anne Bancroft,TRUE
1962,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1962,ACTRESS IN A LEADING ROLE,Katharine Hepburn,FALSE
1962,ACTRESS IN A LEADING ROLE,Geraldine Page,FALSE
1962,ACTRESS IN A LEADING ROLE,Lee Remick,FALSE
1963,ACTOR IN A LEADING ROLE,Albert Finney,FALSE
1963,ACTOR IN A LEADING ROLE,Richard Harris,FALSE
1963,ACTOR IN A LEADING ROLE,Rex Harrison,FALSE
1963,ACTOR IN A LEADING ROLE,Paul Newman,FALSE
1963,ACTOR IN A LEADING ROLE,Sidney Poitier,TRUE
1963,ACTRESS IN A LEADING ROLE,Leslie Caron,FALSE
1963,ACTRESS IN A LEADING ROLE,Shirley MacLaine,FALSE
1963,ACTRESS IN A LEADING ROLE,Patricia Neal,TRUE
1963,ACTRESS IN A LEADING ROLE,Rachel Roberts,FALSE
1963,ACTRESS IN A LEADING ROLE,Natalie Wood,FALSE
1964,ACTOR IN A LEADING ROLE,Richard Burton,FALSE
1964,ACTOR IN A LEADING ROLE,Rex Harrison,TRUE
1964,ACTOR IN A LEADING ROLE,Peter O'Toole,FALSE
1964,ACTOR IN A LEADING ROLE,Anthony Quinn,FALSE
1964,ACTOR IN A LEADING ROLE,Peter Sellers,FALSE
1964,ACTRESS IN A LEADING ROLE,Julie Andrews,TRUE
1964,ACTRESS IN A LEADING ROLE,Anne Bancroft,FALSE
1964,ACTRESS IN A LEADING ROLE,Sophia Loren,FALSE
1964,ACTRESS IN A LEADING ROLE,Debbie Reynolds,FALSE
1964,ACTRESS IN A LEADING ROLE,Kim Stanley,FALSE
1965,ACTOR IN A LEADING ROLE,Richard Burton,FALSE
1965,ACTOR IN A LEADING ROLE,Lee Marvin,TRUE
1965,ACTOR IN A LEADING ROLE,Laurence Olivier,FALSE
1965,ACTOR IN A LEADING ROLE,Rod Steiger,FALSE
1965,ACTOR IN A LEADING ROLE,Oskar Werner,FALSE
1965,ACTRESS IN A LEADING ROLE,Julie Andrews,FALSE
1965,ACTRESS IN A LEADING ROLE,Julie Christie,TRUE
1965,ACTRESS IN A LEADING ROLE,Samantha Eggar,FALSE
1965,ACTRESS IN A LEADING ROLE,Elizabeth Hartman,FALSE
1965,ACTRESS IN A LEADING ROLE,Simone Signoret,FALSE
1966,ACTOR IN A LEADING ROLE,Alan Arkin,FALSE
1966,ACTOR IN A LEADING ROLE,Richard Burton,FALSE
1966,ACTOR IN A LEADING ROLE,Michael Caine,FALSE
1966,ACTOR IN A LEADING ROLE,Steve McQueen,FALSE
1966,ACTOR IN A LEADING ROLE,Paul Scofield,TRUE
1966,ACTRESS IN A LEADING ROLE,Anouk Aimee,FALSE
1966,ACTRESS IN A LEADING ROLE,Ida Kaminska,FALSE
1966,ACTRESS IN A LEADING ROLE,Lynn Redgrave,FALSE
1966,ACTRESS IN A LEADING ROLE,Vanessa Redgrave,FALSE
1966,ACTRESS IN A LEADING ROLE,Elizabeth Taylor,TRUE
1967,ACTOR IN A LEADING ROLE,Warren Beatty,FALSE
1967,ACTOR IN A LEADING ROLE,Dustin Hoffman,FALSE
1967,ACTOR IN A LEADING ROLE,Paul Newman,FALSE
1967,ACTOR IN A LEADING ROLE,Rod Steiger,TRUE
1967,ACTOR IN A LEADING ROLE,Spencer Tracy,FALSE
1967,ACTRESS IN A LEADING ROLE,Anne Bancroft,FALSE
1967,ACTRESS IN A LEADING ROLE,Faye Dunaway,FALSE
1967,ACTRESS IN A LEADING ROLE,Dame Edith Evans,FALSE
1967,ACTRESS IN A LEADING ROLE,Audrey Hepburn,FALSE
1967,ACTRESS IN A LEADING ROLE,Katharine Hepburn,TRUE
1968,ACTOR IN A LEADING ROLE,Alan Arkin,FALSE
1968,ACTOR IN A LEADING ROLE,Alan Bates,FALSE
1968,ACTOR IN A LEADING ROLE,Ron Moody,FALSE
1968,ACTOR IN A LEADING ROLE,Peter O'Toole,FALSE
1968,ACTOR IN A LEADING ROLE,Cliff Robertson,TRUE
1968,ACTRESS IN A LEADING ROLE,Katharine Hepburn,TRUE
1968,ACTRESS IN A LEADING ROLE,Patricia Neal,FALSE
1968,ACTRESS IN A LEADING ROLE,Vanessa Redgrave,FALSE
1968,ACTRESS IN A LEADING ROLE,Barbra Streisand,TRUE
1968,ACTRESS IN A LEADING ROLE,Joanne Woodward,FALSE
1969,ACTOR IN A LEADING ROLE,Richard Burton,FALSE
1969,ACTOR IN A LEADING ROLE,Dustin Hoffman,FALSE
1969,ACTOR IN A LEADING ROLE,Peter O'Toole,FALSE
1969,ACTOR IN A LEADING ROLE,Jon Voight,FALSE
1969,ACTOR IN A LEADING ROLE,John Wayne,TRUE
1969,ACTRESS IN A LEADING ROLE,Genevieve Bujold,FALSE
1969,ACTRESS IN A LEADING ROLE,Jane Fonda,FALSE
1969,ACTRESS IN A LEADING ROLE,Liza Minnelli,FALSE
1969,ACTRESS IN A LEADING ROLE,Jean Simmons,FALSE
1969,ACTRESS IN A LEADING ROLE,Maggie Smith,TRUE
1970,ACTOR IN A LEADING ROLE,Melvyn Douglas,FALSE
1970,ACTOR IN A LEADING ROLE,James Earl Jones,FALSE
